,0,1,2,3,4,5,6,7,8
2007-03-19,110.879997,32.52,34.959999,34.59,34.950001,52.830002,34.029999,32.009998,35.130001
2007-03-20,112.650002,32.66,34.950001,34.91,35.150002,53.060001,34.540001,32.279999,35.41
2007-03-21,112.400002,32.639999,35.25,35.32,35.73,52.75,35.049999,32.389999,35.799999
2007-03-22,113.389999,32.98,35.880001,36.189999,35.919998,52.470001,36.099998,32.959999,35.98
2007-03-23,113.099998,32.639999,35.57,36.189999,36.509998,53.290001,35.919998,33.150002,35.900002
2007-03-26,112.5,32.91,36.450001,36.189999,36.599998,53.439999,36.299999,33.0,36.369999
2007-03-27,110.400002,33.41,35.599998,35.860001,36.880001,53.25,35.330002,32.869999,35.330002
2007-03-28,108.010002,33.419998,35.740002,35.560001,37.299999,53.220001,34.73,32.740002,34.860001
2007-03-29,107.18,33.700001,35.580002,35.110001,37.529999,53.110001,34.5,32.990002,35.119999
2007-03-30,107.790001,33.77,35.580002,35.75,37.369999,52.779999,34.029999,32.790001,34.630001
2007-04-02,108.25,33.810001,35.529999,35.290001,37.049999,52.889999,34.18,32.799999,35.02
2007-04-03,105.330002,33.639999,35.82,34.98,37.450001,52.709999,34.5,33.060001,34.799999
2007-04-04,106.739998,33.75,36.0,35.450001,37.25,53.490002,34.849998,33.419998,35.389999
2007-04-05,106.900002,33.310001,35.299999,35.330002,37.310001,54.18,34.700001,33.07,35.349998
2007-04-09,108.489998,33.23,36.25,35.220001,37.279999,55.669998,34.52,33.259998,35.849998
2007-04-10,108.620003,33.470001,36.66,34.880001,37.240002,55.849998,34.09,32.849998,35.490002
2007-04-11,109.010002,33.93,37.040001,34.950001,37.540001,56.23,33.880001,32.950001,35.709999
2007-04-12,108.440002,33.75,36.549999,34.349998,37.689999,56.009998,33.560001,32.950001,36.459999
2007-04-13,107.860001,34.110001,38.009998,34.389999,38.169998,57.0,34.0,33.369999,38.23
2007-04-16,109.050003,33.950001,37.889999,34.27,37.900002,57.689999,33.27,33.299999,39.389999
2007-04-17,110.290001,33.82,38.130001,34.639999,38.150002,57.0,33.73,33.490002,40.07
2007-04-18,111.099998,33.540001,37.799999,34.490002,37.259998,56.150002,35.799999,33.34,40.32
2007-04-19,111.57,34.259998,38.709999,34.950001,37.75,55.080002,37.349998,33.060001,40.25
2007-04-20,113.010002,33.459999,38.900002,35.009998,37.860001,55.0,36.200001,33.189999,40.25
2007-04-23,111.860001,33.700001,38.900002,35.529999,37.919998,55.07,36.75,33.02,40.68
2007-04-24,113.199997,33.75,39.139999,35.18,38.080002,54.990002,35.23,33.110001,40.689999
2007-04-25,113.82,33.439999,38.77,35.07,38.950001,55.0,35.59,33.07,41.610001
2007-04-26,114.25,33.419998,38.689999,35.400002,40.0,54.560001,35.610001,33.400002,41.889999
2007-04-27,112.730003,34.5,38.029999,35.380001,39.810001,54.939999,35.5,33.330002,41.57
2007-04-30,111.980003,33.73,38.75,35.490002,39.720001,57.5,35.310001,33.48,41.75
2007-05-01,109.739998,32.75,37.049999,35.25,39.700001,53.799999,34.25,34.080002,41.07
2007-05-02,110.099998,32.07,37.450001,35.189999,40.07,54.66,36.599998,36.34,42.299999
2007-05-03,113.599998,33.139999,38.150002,35.139999,40.279999,55.619999,38.889999,36.900002,41.599998
2007-05-04,114.559998,34.07,38.369999,35.990002,40.509998,55.049999,38.18,36.900002,41.84
2007-05-07,113.870003,33.73,38.75,35.77,40.48,55.330002,37.43,36.810001,41.900002
2007-05-08,115.220001,33.540001,38.400002,35.93,40.549999,55.419998,37.310001,36.330002,41.41
2007-05-09,115.639999,33.48,39.349998,35.689999,39.720001,55.299999,37.580002,36.290001,41.259998
2007-05-10,118.940002,33.200001,39.0,36.0,39.369999,55.529999,37.52,36.0,41.849998
2007-05-11,118.309998,32.77,38.59,35.84,38.77,54.299999,37.299999,36.16,41.59
2007-05-14,120.400002,32.799999,38.810001,36.099998,39.299999,54.099998,37.299999,36.049999,41.599998
2007-05-15,120.199997,33.25,38.93,35.950001,39.490002,53.009998,37.099998,36.080002,41.400002
2007-05-16,123.199997,32.959999,38.790001,35.990002,38.869999,53.099998,36.099998,36.029999,41.150002
2007-05-17,118.75,33.580002,39.23,36.25,39.130001,52.98,36.369999,35.919998,41.66
2007-05-18,117.559998,33.23,39.889999,36.439999,39.52,53.369999,36.880001,35.669998,42.02
2007-05-21,116.5,33.380001,40.259998,36.490002,40.580002,53.0,37.139999,35.950001,42.330002
2007-05-22,119.300003,32.700001,40.209999,36.220001,40.900002,53.029999,37.5,36.110001,42.5
2007-05-23,118.230003,33.07,40.5,36.009998,40.959999,54.0,37.950001,36.099998,42.98
2007-05-24,116.720001,33.220001,40.880001,35.66,40.830002,53.950001,37.200001,36.52,42.639999
2007-05-25,113.059998,33.209999,40.0,35.610001,40.75,54.150002,36.099998,35.779999,42.349998
2007-05-29,114.800003,32.919998,40.450001,35.939999,40.740002,54.27,36.470001,35.889999,42.400002
